rank,homepage_url,num_funding_rounds,total_funding_usd,email,phone,facebook_url,linkedin_url,twitter_url,logo_url,days_since_founding,days_since_last_funding,status_acquired,status_closed,status_ipo,status_operating,category_groups_list_Energy,category_groups_list_Sustainability,employee_count_1-10,employee_count_11-50,employee_count_51-100
13992,1,2,35900000,1,0,0,1,0,1,1701.0,258.0,1,0,0,0,1,0,0,1,0
2119323,1,0,0,1,1,1,1,1,1,4258.0,0.0,0,1,0,0,0,1,1,0,0
455084,1,0,0,1,1,1,0,0,1,9006.0,0.0,0,1,0,0,0,1,0,1,0
1688185,1,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,1,1,0,1,0,0
2482758,1,1,50000,1,1,1,0,1,1,4853.0,4375.0,0,1,0,0,0,1,0,1,0
131805,1,3,3800000,1,1,0,1,0,1,6084.0,3280.0,0,0,0,1,1,0,1,0,0
2038371,1,0,0,1,1,0,0,0,1,3892.0,0.0,0,1,0,0,0,1,0,0,1
1848907,1,0,0,0,1,0,1,1,0,4258.0,0.0,0,0,0,1,1,0,1,0,0
603319,1,0,0,0,0,0,1,0,1,6814.0,0.0,0,0,0,1,1,0,1,0,0
2423851,1,0,0,0,1,0,1,0,0,5353.0,0.0,0,0,0,1,1,0,1,0,0
324759,1,0,0,0,1,0,1,1,1,16311.0,0.0,0,0,0,1,1,0,0,0,1
2238637,0,1,671830,0,0,0,0,0,1,4988.0,4641.0,0,0,0,1,1,0,0,1,0
1513547,1,0,0,1,0,1,1,0,0,3892.0,0.0,0,0,0,1,0,1,0,1,0
774482,1,1,146887,1,1,0,1,1,1,5719.0,4859.0,0,0,0,1,0,1,1,0,0
2225604,1,0,0,1,1,1,0,1,1,5202.0,0.0,0,0,0,1,0,1,1,0,0
2950866,1,0,0,1,1,1,1,1,1,4085.0,0.0,0,0,0,1,0,1,1,0,0
752819,1,1,5000000,1,1,0,0,1,1,5719.0,3689.0,0,1,0,0,1,0,1,0,0
167949,1,2,3842000,1,1,1,1,1,1,4988.0,3178.0,0,0,0,1,1,0,0,0,1
49779,1,4,3135000,0,1,0,1,0,1,6449.0,1104.0,0,0,0,1,1,0,1,0,0
2797520,1,0,0,0,1,0,1,0,0,7545.0,0.0,0,0,0,1,1,0,0,1,0
1866388,1,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,1,0,1,1,0,0
115360,1,4,8250000,1,1,0,1,0,1,6084.0,3668.0,0,0,1,0,1,0,1,0,0
1875690,1,0,0,0,0,1,1,0,1,17772.0,0.0,0,0,0,1,1,0,0,0,1
189399,1,0,0,0,1,1,1,1,1,3892.0,0.0,0,0,0,1,1,0,0,0,1
395370,1,1,25000,1,1,0,1,1,1,27634.0,4173.0,0,0,0,1,1,0,0,0,1
2883284,1,0,0,1,1,0,0,0,0,0.0,0.0,0,1,0,0,1,0,1,0,0
792506,1,0,0,0,1,0,1,0,0,32017.0,0.0,0,0,0,1,1,0,0,0,1
432899,1,0,0,0,1,1,1,0,1,9736.0,0.0,0,0,0,1,1,0,0,0,1
2619177,1,0,0,1,0,1,0,1,1,0.0,0.0,0,1,0,0,0,1,1,0,0
46060,1,6,8017752,1,1,1,1,1,1,5719.0,2925.0,1,0,0,0,1,0,0,0,1
1476166,1,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,1,1,0,0,1,0
2394153,1,0,0,1,1,1,1,0,1,0.0,0.0,0,0,0,1,0,1,0,1,0
2995088,1,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,1,1,0,0,1,0
1631187,1,0,0,1,1,1,0,1,0,0.0,0.0,0,0,0,1,0,1,0,1,0
2742685,1,0,0,1,0,0,1,0,1,4988.0,0.0,0,0,0,1,0,1,1,0,0
728629,1,0,0,1,1,1,1,1,1,4988.0,0.0,1,0,0,0,1,0,1,0,0
1728421,1,0,0,1,1,0,1,0,1,7180.0,0.0,1,0,0,0,1,0,0,1,0
2224385,1,0,0,1,1,1,1,1,0,0.0,0.0,0,0,0,1,1,0,0,1,0
402309,1,0,0,1,1,0,1,0,1,4623.0,0.0,0,0,0,1,0,1,0,1,0
1216710,1,0,0,1,1,0,1,0,1,5353.0,0.0,0,0,0,1,0,1,1,0,0
2578231,1,0,0,0,0,0,0,0,1,6814.0,0.0,0,0,0,1,0,1,1,0,0
